,accuracy,precision,recall,especifidad,f1,kapppa,set,modelo
0,0.9732095016967316,0.03333333333333333,0.045454545454545456,0.984276161214531,0.03846153846153846,0.025203002910985095,test,Decission Tree Sin Balanceo
1,0.9976334003125698,1.0,0.834375,1.0,0.9097103918228279,0.9085212815274931,train,Decission Tree Sin Balanceo
0,0.9670287044220326,0.9597349643221202,0.9748899818793684,0.9591836734693877,0.9672531141646333,0.9340584142602905,test,Decission Tree Balanceado
1,0.9981250404086118,0.9980611387578362,0.9981901622390279,0.9980598848865032,0.9981256463288521,0.9962500804410218,train,Decission Tree Balanceado
